domain,receiver_email,email,notes,scrape_source
digitalnomadshq.com.au,hello@dnhq.com.au,hello@dnhq.com.au,score=100; band=tier_a; delivery=valid; source=https://digitalnomadshq.com.au/,site_page
hawksem.com,hello@hawksem.com,hello@hawksem.com,score=77; band=tier_c; delivery=valid; source=https://hawksem.com/,pattern_inferred
ignitedigital.com,hello@ignitedigital.com,hello@ignitedigital.com,score=77; band=tier_c; delivery=valid; source=https://ignitedigital.com/,pattern_inferred
openmoves.com,sales@openmoves.com,sales@openmoves.com,score=100; band=tier_a; delivery=valid; source=https://openmoves.com/,site_page
miguelanticonam.gumroad.com,hello@miguelanticonam.gumroad.com,hello@miguelanticonam.gumroad.com,score=46; band=tier_c; delivery=unknown; source=https://miguelanticonam.gumroad.com/l/premium-ai-powered-no-code,pattern_inferred
10xllm.com,hello@10xllm.com,hello@10xllm.com,score=46; band=tier_c; delivery=unknown; source=https://10xllm.com/,pattern_inferred
digiarpit.gumroad.com,hello@digiarpit.gumroad.com,hello@digiarpit.gumroad.com,score=46; band=tier_c; delivery=unknown; source=https://digiarpit.gumroad.com/l/gmr,pattern_inferred
chat-gpt.photos,hello@chat-gpt.photos,hello@chat-gpt.photos,score=77; band=tier_c; delivery=valid; source=https://chat-gpt.photos/,pattern_inferred
bridesmaidforhire.com,hello@bridesmaidforhire.com,hello@bridesmaidforhire.com,score=77; band=tier_c; delivery=valid; source=https://bridesmaidforhire.com/maid-of-honor-speech-generator,pattern_inferred
orgengage.com,hello@orgengage.com,hello@orgengage.com,score=77; band=tier_c; delivery=valid; source=https://orgengage.com/,pattern_inferred
blocksurvey.io,hello@blocksurvey.io,hello@blocksurvey.io,score=77; band=tier_c; delivery=valid; source=https://blocksurvey.io/ai-powered-forms,pattern_inferred
aiqrhub.com,hello@aiqrhub.com,hello@aiqrhub.com,score=46; band=tier_c; delivery=unknown; source=https://aiqrhub.com/,pattern_inferred
newmode.ai,contact@newmode.ai,contact@newmode.ai,score=100; band=tier_a; delivery=valid; source=https://newmode.ai,site_page
onclarity.com,hello@onclarity.com,hello@onclarity.com,score=77; band=tier_c; delivery=valid; source=https://www.onclarity.com/,pattern_inferred
apostrophecms.com,hello@productlane.com,hello@productlane.com,score=92; band=tier_b; delivery=valid; source=https://roadmap.apostrophecms.com/roadmap,site_page
zorp.one,hello@zorp.one,hello@zorp.one,score=77; band=tier_c; delivery=valid; source=https://www.zorp.one/asset-management,pattern_inferred
skillprepare.com,team@skillprepare.com,team@skillprepare.com,score=100; band=tier_a; delivery=valid; source=https://skillprepare.com/astro-typers-free-typing-game/,site_page
audionotes.app,hello@audionotes.app,hello@audionotes.app,score=100; band=tier_a; delivery=valid; source=https://www.audionotes.app/,site_page
writesonic.com,hello@ritesonic.com,hello@ritesonic.com,score=21; band=tier_d; delivery=unknown; source=https://writesonic.com/,pattern_inferred
