domain,receiver_email,email,notes,scrape_source
digitalnomadshq.com.au,hello@dnhq.com.au,hello@dnhq.com.au,score=100; band=tier_a; delivery=valid; source=https://digitalnomadshq.com.au/,site_page
hawksem.com,hello@hawksem.com,hello@hawksem.com,score=77; band=tier_c; delivery=valid; source=https://hawksem.com/,pattern_inferred
ignitedigital.com,error-lite@duckduckgo.com,error-lite@duckduckgo.com,score=80; band=tier_b; delivery=valid; source=https://duckduckgo.com/html/?q=site%3Aignitedigital.com+%22%40ignitedigital.com%22,search_snippet
openmoves.com,sales@openmoves.com,sales@openmoves.com,score=100; band=tier_a; delivery=valid; source=https://openmoves.com/,site_page
miguelanticonam.gumroad.com,error-lite@duckduckgo.com,error-lite@duckduckgo.com,score=80; band=tier_b; delivery=valid; source=https://duckduckgo.com/html/?q=site%3Amiguelanticonam.gumroad.com+%22%40miguelanticonam.gumroad.com%22,search_snippet
10xllm.com,error-lite+9318@duckduckgo.com,error-lite+9318@duckduckgo.com,score=80; band=tier_b; delivery=valid; source=https://duckduckgo.com/html/?q=site%3A10xllm.com+%22%4010xllm.com%22,search_snippet
digiarpit.gumroad.com,error-lite+9318@duckduckgo.com,error-lite+9318@duckduckgo.com,score=76; band=tier_c; delivery=valid; source=https://duckduckgo.com/html/?q=site%3Adigiarpit.gumroad.com+%22%40digiarpit.gumroad.com%22,search_snippet
chat-gpt.photos,info@chat-gpt.photos,info@chat-gpt.photos,score=100; band=tier_a; delivery=valid; source=https://chat-gpt.photos/,site_page
bridesmaidforhire.com,jen@bridesmaidforhire.com,jen@bridesmaidforhire.com,score=100; band=tier_a; delivery=valid; source=https://bridesmaidforhire.com/contact/,site_page
orgengage.com,support@orgengage.com,support@orgengage.com,score=100; band=tier_a; delivery=valid; source=https://orgengage.com/,site_page
blocksurvey.io,raja@blocksurvey.io,raja@blocksurvey.io,score=100; band=tier_a; delivery=valid; source=https://blocksurvey.io/terms-conditions,site_page
aiqrhub.com,ljinkai100@gmail.com,ljinkai100@gmail.com,score=90; band=tier_b; delivery=valid; source=https://aiqrhub.com/contact,site_page
newmode.ai,contact@newmode.ai,contact@newmode.ai,score=100; band=tier_a; delivery=valid; source=https://newmode.ai,site_page
onclarity.com,legal@onclarity.com,legal@onclarity.com,score=100; band=tier_a; delivery=valid; source=https://www.onclarity.com/legal-pages/legal-center,site_page
apostrophecms.com,info@apostrophecms.com,info@apostrophecms.com,score=100; band=tier_a; delivery=valid; source=https://apostrophecms.com/privacy-policy,site_page
zorp.one,support@zorp.one,support@zorp.one,score=100; band=tier_a; delivery=valid; source=https://www.zorp.one/asset-management,site_page
skillprepare.com,team@skillprepare.com,team@skillprepare.com,score=100; band=tier_a; delivery=valid; source=https://skillprepare.com/astro-typers-free-typing-game/,site_page
audionotes.app,hello@audionotes.app,hello@audionotes.app,score=100; band=tier_a; delivery=valid; source=https://www.audionotes.app/,site_page
writesonic.com,support@writesonic.com,support@writesonic.com,score=100; band=tier_a; delivery=valid; source=https://writesonic.com/privacy-policy,site_page
awsfundamentals.com,hello@awsfundamentals.com,hello@awsfundamentals.com,score=100; band=tier_a; delivery=valid; source=https://awsfundamentals.com/,site_page
awtomic.com,careers@awtomic.com,careers@awtomic.com,score=100; band=tier_a; delivery=valid; source=https://www.awtomic.com/about,site_page
beau.to,hello@beau.to,hello@beau.to,score=100; band=tier_a; delivery=valid; source=https://beau.to/,site_page
bestreminderapp.com,contact@bestreminderapp.com,contact@bestreminderapp.com,score=100; band=tier_a; delivery=valid; source=https://bestreminderapp.com/,site_page
betterpic.io,support@betterpic.io,support@betterpic.io,score=100; band=tier_a; delivery=valid; source=https://www.betterpic.io/,site_page
philipithomas.com,mail@philipithomas.com,mail@philipithomas.com,score=100; band=tier_a; delivery=valid; source=https://www.philipithomas.com/privacy,site_page
boolv.video,support@boolvector.com,support@boolvector.com,score=92; band=tier_b; delivery=valid; source=https://boolv.video/,site_page
boringcashcow.com,hi@staticmaker.com,hi@staticmaker.com,score=98; band=tier_a; delivery=valid; source=https://boringcashcow.com/,site_page
brainstormer.online,brainstormer.online@gmail.com,brainstormer.online@gmail.com,score=98; band=tier_a; delivery=valid; source=https://www.brainstormer.online,site_page
briefy.ai,hello@briefy.ai,hello@briefy.ai,score=100; band=tier_a; delivery=valid; source=https://briefy.ai/,site_page
insights.miro.com,hello@cardinalapp.io,hello@cardinalapp.io,score=96; band=tier_a; delivery=valid; source=https://insights.miro.com/,site_page
careerspark.io,support@careerspark.io,support@careerspark.io,score=100; band=tier_a; delivery=valid; source=https://careerspark.io/,site_page
