domain,email,source_url,source_type,found_in,crawl_depth,confidence_score,confidence_label,reason_flags,sighting_count
circuithub.com,support@circuithub.com,https://circuithub.com/,httpx,mailto,0,100,high,domain_exact_match|mailto_link|seen_23_pages|high_value_prefix,23
circuithub.com,careers@circuithub.com,https://circuithub.com/company/careers,httpx,mailto,1,100,high,domain_exact_match|about_or_team_page|mailto_link,1
circuithub.com,press@circuithub.com,https://circuithub.com/company/press,httpx,mailto,1,100,high,domain_exact_match|about_or_team_page|mailto_link|seen_2_pages,2
circuithub.com,sales@circuithub.com,https://circuithub.com/company/contact,httpx,mailto,1,100,high,domain_exact_match|about_or_team_page|mailto_link|high_value_prefix,1
circuithub.com,andrew@circuithub.com,https://circuithub.com/company/about-us,httpx,html,1,92,high,domain_exact_match|about_or_team_page,1
circuithub.com,rehno@circuithub.com,https://circuithub.com/company/about-us,httpx,html,1,92,high,domain_exact_match|about_or_team_page,1
circuithub.com,melissa@circuithub.com,https://circuithub.com/company/about-us,httpx,html,1,92,high,domain_exact_match|about_or_team_page,1
circuithub.com,hanstolpo@gmail.com,http://docs.circuithub.com/,httpx,html,1,15,reject,domain_mismatch,1
icracked.com,,,,,,0,reject,no_emails_found,0
42floors.com,,,,,,0,reject,no_emails_found,0
plangrid.com,,,,,,0,reject,no_emails_found,0
ireover.com,,,,,,0,reject,no_emails_found,0
themuse.com,privacy@themuse.com,https://www.themuse.com/user/terms,httpx,mailto,1,95,high,domain_exact_match|mailto_link|seen_2_pages|legal_or_compliance_mailbox,2
themuse.com,care.coaching@themuse.com,https://www.themuse.com/coaching,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
themuse.com,care.email@themuse.com,https://www.themuse.com/user/terms,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
themuse.com,legal@themuse.com,https://www.themuse.com/user/terms,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
themuse.com,terms@themuse.com,https://www.themuse.com/user/terms,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
themuse.com,commercial@namadr.com,https://www.themuse.com/user/terms,httpx,html,1,15,reject,domain_mismatch,1
sendhub.com,support@lightslategrey-shrew-983109.hostingersite.com,https://sendhub.com/contact-us,httpx,mailto,1,38,reject,domain_mismatch|mailto_link|seen_2_pages|high_value_prefix,2
sendhub.com,sales@lightslategrey-shrew-983109.hostingersite.com,https://sendhub.com/contact-us,httpx,html,1,28,reject,domain_mismatch|seen_2_pages|high_value_prefix,2
sendhub.com,billing@lightslategrey-shrew-983109.hostingersite.com,https://sendhub.com/contact-us,httpx,mailto,1,25,reject,domain_mismatch|mailto_link,1
hipmob.com,,,,,,0,reject,no_emails_found,0
myvr.com,,,,,,0,reject,no_emails_found,0
hireart.com,support@hireart.com,https://hireart.com/privacy-policy,httpx,mailto,1,100,high,domain_exact_match|mailto_link|seen_2_pages|high_value_prefix,2
noudata.com,,,,,,0,reject,no_emails_found,0
medigram.com,info@medigram.com,https://medigram.com/contact/,httpx,mailto,1,100,high,domain_exact_match|contact_page|mailto_link|seen_3_pages,3
couple.me,support@couple.me,https://couple.me/,httpx,cf_obfuscated,0,100,high,domain_exact_match|cf_obfuscated_decoded|seen_15_pages|high_value_prefix,15
couple.me,privacy@couple.me,https://couple.me/privacy-policy,httpx,html,1,80,high,domain_exact_match|legal_or_compliance_mailbox,1
hackpad.com,,,,,,0,reject,no_emails_found,0
rescale.com,legal@rescale.com,https://rescale.com/company/legal/applicant-privacy-notice/,httpx,cf_obfuscated,1,100,high,domain_exact_match|about_or_team_page|cf_obfuscated_decoded|seen_5_pages|legal_or_compliance_mailbox,5
rescale.com,support@rescale.com,https://rescale.com/company/legal/support-policy/,httpx,cf_obfuscated,1,100,high,domain_exact_match|about_or_team_page|cf_obfuscated_decoded|seen_2_pages|high_value_prefix,2
rescale.com,sales@rescale.com,https://rescale.com/rescale-login/,httpx,html,1,88,high,domain_exact_match|high_value_prefix,1
rescale.com,6950e524c6d3429fbf3aa211e36fcac5@sentry.rescale.com,https://rescale.com/rescale-login/,httpx,html,1,70,medium,subdomain_match,1
angel.co,talent@wellfound.com,https://angel.co/recruit/overview,httpx,cf_obfuscated,1,20,reject,domain_mismatch|cf_obfuscated_decoded,1
taptolearn.com,,,,,,0,reject,no_emails_found,0
optilly.com,,,,,,0,reject,no_emails_found,0
booksolid.com,,,,,,0,reject,no_emails_found,0
gusto.com,,,,,,0,reject,no_emails_found,0
familyleaf.com,,,,,,0,reject,no_emails_found,0
marft.com,,,,,,0,reject,no_emails_found,0
minefold.com,,,,,,0,reject,no_emails_found,0
dealupa.com,,,,,,0,reject,no_emails_found,0
getchute.com,,,,,,0,reject,no_emails_found,0
matterport.com,support@matterport.com,https://matterport.com/contact-us,httpx,mailto,1,98,high,domain_exact_match|mailto_link|high_value_prefix,1
matterport.com,press@matterport.com,https://matterport.com/contact-us,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
shoptiques.com,,,,,,0,reject,no_emails_found,0
cleverdeck.com,justin@cleverdeck.com,https://cleverdeck.com/,httpx,mailto,0,100,high,domain_exact_match|mailto_link|seen_16_pages,16
cleverdeck.com,help@cleverdeck.com,https://cleverdeck.com/privacy/,httpx,html,1,85,high,domain_exact_match|seen_2_pages,2
makeschool.com,admin@makeschool.org,https://makeschool.com/,httpx,mailto,0,25,reject,domain_mismatch|mailto_link,1
pixelapse.com,,,,,,0,reject,no_emails_found,0
screenleap.com,support@screenleap.com,https://www.screenleap.com/support,httpx,mailto,1,100,high,domain_exact_match|mailto_link|seen_2_pages|high_value_prefix,2
screenleap.com,copyright@screenleap.com,https://www.screenleap.com/terms,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
talkray.com,,,,,,0,reject,no_emails_found,0
zillabyte.com,,,,,,0,reject,no_emails_found,0
iamexec.com,privacyofficer@angi.com,https://iamexec.com/privacy,httpx,mailto,1,25,reject,domain_mismatch|mailto_link|legal_or_compliance_mailbox,1
iamexec.com,legal@handy.com,https://iamexec.com/terms,httpx,mailto,1,25,reject,domain_mismatch|mailto_link|legal_or_compliance_mailbox,1
iamexec.com,contactprivacyofficer@angi.com,https://iamexec.com/privacy,httpx,text,1,23,reject,domain_mismatch|high_value_prefix,1
iamexec.com,legal@angi.com,https://iamexec.com/terms,httpx,html,1,15,reject,domain_mismatch|legal_or_compliance_mailbox,1
joingrouper.com,,,,,,0,reject,no_emails_found,0
amplitude.com,sales@amplitude.com,https://amplitude.com/,httpx,jsonld,0,100,high,domain_exact_match|jsonld_structured_data|seen_25_pages|high_value_prefix,25
amplitude.com,support@amplitude.com,https://amplitude.com/legal,httpx,mailto,1,98,high,domain_exact_match|mailto_link|high_value_prefix,1
amplitude.com,legal@amplitude.com,https://amplitude.com/legal,httpx,mailto,1,95,high,domain_exact_match|mailto_link|seen_2_pages|legal_or_compliance_mailbox,2
amplitude.com,privacy@amplitude.com,https://amplitude.com/legal,httpx,mailto,1,95,high,domain_exact_match|mailto_link|seen_2_pages|legal_or_compliance_mailbox,2
amplitude.com,legalnotices@amplitude.com,https://amplitude.com/terms,httpx,mailto,1,90,high,domain_exact_match|mailto_link|legal_or_compliance_mailbox,1
amplitude.com,integrations@amplitude.com,https://amplitude.com/integrations,httpx,mailto,1,90,high,domain_exact_match|mailto_link,1
amplitude.com,scholarship@amplitude.com,https://amplitude.com/terms,httpx,html,1,80,high,domain_exact_match,1
amplitude.com,subprocessor.notifications@amplitude.com,https://amplitude.com/security-and-privacy,httpx,html,1,80,high,domain_exact_match,1
lendup.com,help@lendup.com,https://lendup.com/contact/,httpx,jsonld,1,100,high,domain_exact_match|contact_page|jsonld_structured_data|seen_25_pages,25
lendup.com,support@lendup.com,https://lendup.com/,httpx,jsonld,0,100,high,domain_exact_match|jsonld_structured_data|seen_25_pages|high_value_prefix,25
