domain,email,source_url,source_type,source_kind,found_in,crawl_depth,confidence_score,confidence_label,reason_flags,sighting_count,verification_status,deliverability_confidence,resolved_company_domain,identity_confidence
digitalnomadshq.com.au,hello@dnhq.com.au,https://digitalnomadshq.com.au/,httpx,site_page,jsonld,0,100,high,site_source|useful_mailbox|domain_mismatch|sightings_10|verified,10,verified,90,digitalnomadshq.com.au,40
hawksem.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Ahawksem.com+%22%40hawksem.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,hawksem.com,40
ignitedigital.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Aignitedigital.com+%22%40ignitedigital.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,ignitedigital.com,40
openmoves.com,sales@openmoves.com,https://openmoves.com/,httpx,site_page,html,0,100,high,site_source|useful_mailbox|domain_match_exact|sightings_3|verified,3,verified,90,openmoves.com,90
miguelanticonam.gumroad.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Amiguelanticonam.gumroad.com+%22%40miguelanticonam.gumroad.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,miguelanticonam.gumroad.com,40
10xllm.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3A10xllm.com+%22%4010xllm.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,10xllm.com,40
digiarpit.gumroad.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Adigiarpit.gumroad.com+%22%40digiarpit.gumroad.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,digiarpit.gumroad.com,40
agent.store,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Aagent.store+%22%40agent.store%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,agent.store,40
app.sprig.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Aapp.sprig.com+%22%40app.sprig.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,app.sprig.com,40
valerianotion.gumroad.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Avalerianotion.gumroad.com+%22%40valerianotion.gumroad.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,valerianotion.gumroad.com,40
ai-easy-content.xyz,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Aai-easy-content.xyz+%22%40ai-easy-content.xyz%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,ai-easy-content.xyz,40
