domain,email,sources,note
stripe.com,sales@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,accommodations@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,atikh@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,candidatefeedback-applications@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,complaints-in@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,dpo@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,executivesummit@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,jane.diaz@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,luca.pacioli@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,media@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,notices@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,privacy@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,tatiana@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,test@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
stripe.com,timotheero@stripe.com,httpx+trafilatura;crawl4ai+trafilatura;conduit+crawl;scrapy,
notion.so,,scrapy_error:,no_emails_found
airtable.com,,scrapy_error:,no_emails_found
vercel.com,,scrapy_error:,no_emails_found
cal.com,support@cal.com,crawl4ai+trafilatura;conduit+crawl;scrapy_error:,
